---------------------------------------
Begin Slurm Prolog: Apr-17-2026 01:33:54
Job ID:    4907821
User ID:   rsiddique32
Account:   ece
Job name:  GAT_1
Partition: coe-gpu
QOS:       coe-ice
---------------------------------------
TF version: 2.16.1
Num GPUs Available:  0
TensorFlow is still on the CPU. Check CUDA/cuDNN installation.
Update 0/100000 | Loss: -0.0331 | Avg Turns/Game: nan | Avg Reward: nan | Re-hits: 0
Update 100/100000 | Loss: -0.0269 | Avg Turns/Game: 97.2 | Avg Reward: -815.59 | Re-hits: 0
Update 200/100000 | Loss: -0.0480 | Avg Turns/Game: 98.3 | Avg Reward: -824.80 | Re-hits: 0
Update 300/100000 | Loss: -0.0260 | Avg Turns/Game: 99.6 | Avg Reward: -845.24 | Re-hits: 0
Update 400/100000 | Loss: -0.0377 | Avg Turns/Game: 96.1 | Avg Reward: -795.97 | Re-hits: 0
Update 500/100000 | Loss: -0.1453 | Avg Turns/Game: 97.9 | Avg Reward: -817.63 | Re-hits: 0
Update 600/100000 | Loss: -0.1207 | Avg Turns/Game: 98.5 | Avg Reward: -815.16 | Re-hits: 0
Update 700/100000 | Loss: -0.3157 | Avg Turns/Game: 98.2 | Avg Reward: -803.98 | Re-hits: 0
Update 800/100000 | Loss: -0.3891 | Avg Turns/Game: 98.8 | Avg Reward: -797.97 | Re-hits: 0
Update 900/100000 | Loss: -0.1032 | Avg Turns/Game: 96.3 | Avg Reward: -756.41 | Re-hits: 0
Update 1000/100000 | Loss: -0.2124 | Avg Turns/Game: 96.3 | Avg Reward: -734.45 | Re-hits: 0
Update 1100/100000 | Loss: 0.0276 | Avg Turns/Game: 92.0 | Avg Reward: -686.96 | Re-hits: 0
Update 1200/100000 | Loss: -0.4468 | Avg Turns/Game: 97.8 | Avg Reward: -768.78 | Re-hits: 0
Update 1300/100000 | Loss: -0.4377 | Avg Turns/Game: 97.8 | Avg Reward: -749.90 | Re-hits: 0
Update 1400/100000 | Loss: -0.2106 | Avg Turns/Game: 94.3 | Avg Reward: -694.22 | Re-hits: 0
Update 1500/100000 | Loss: -0.3826 | Avg Turns/Game: 92.6 | Avg Reward: -657.22 | Re-hits: 0
Update 1600/100000 | Loss: -0.3925 | Avg Turns/Game: 87.6 | Avg Reward: -580.99 | Re-hits: 0
Update 1700/100000 | Loss: -0.2405 | Avg Turns/Game: 87.5 | Avg Reward: -583.39 | Re-hits: 0
Update 1800/100000 | Loss: -0.4699 | Avg Turns/Game: 85.4 | Avg Reward: -533.43 | Re-hits: 0
Update 1900/100000 | Loss: -0.3143 | Avg Turns/Game: 83.5 | Avg Reward: -509.54 | Re-hits: 0
Update 2000/100000 | Loss: -0.8889 | Avg Turns/Game: 81.3 | Avg Reward: -461.42 | Re-hits: 0
Update 2100/100000 | Loss: -0.2970 | Avg Turns/Game: 75.1 | Avg Reward: -393.21 | Re-hits: 0
Update 2200/100000 | Loss: -0.4769 | Avg Turns/Game: 74.2 | Avg Reward: -359.84 | Re-hits: 0
Update 2300/100000 | Loss: -0.1735 | Avg Turns/Game: 74.8 | Avg Reward: -365.77 | Re-hits: 0
Update 2400/100000 | Loss: -0.5557 | Avg Turns/Game: 71.8 | Avg Reward: -328.95 | Re-hits: 0
Update 2500/100000 | Loss: -0.5927 | Avg Turns/Game: 77.1 | Avg Reward: -406.24 | Re-hits: 0
Update 2600/100000 | Loss: -0.4577 | Avg Turns/Game: 67.5 | Avg Reward: -271.52 | Re-hits: 0
Update 2700/100000 | Loss: -0.2889 | Avg Turns/Game: 68.4 | Avg Reward: -286.38 | Re-hits: 0
Update 2800/100000 | Loss: -0.0937 | Avg Turns/Game: 65.9 | Avg Reward: -254.21 | Re-hits: 0
Update 2900/100000 | Loss: -0.6077 | Avg Turns/Game: 71.0 | Avg Reward: -318.55 | Re-hits: 0
Update 3000/100000 | Loss: -0.2156 | Avg Turns/Game: 64.1 | Avg Reward: -235.39 | Re-hits: 0
Update 3100/100000 | Loss: -0.5281 | Avg Turns/Game: 64.3 | Avg Reward: -225.85 | Re-hits: 0
Update 3200/100000 | Loss: -0.2100 | Avg Turns/Game: 64.8 | Avg Reward: -234.79 | Re-hits: 0
Update 3300/100000 | Loss: -0.1593 | Avg Turns/Game: 63.1 | Avg Reward: -207.80 | Re-hits: 0
Update 3400/100000 | Loss: 0.3606 | Avg Turns/Game: 67.7 | Avg Reward: -287.41 | Re-hits: 0
Update 3500/100000 | Loss: -0.4664 | Avg Turns/Game: 66.4 | Avg Reward: -246.76 | Re-hits: 0
Update 3600/100000 | Loss: 0.0076 | Avg Turns/Game: 62.9 | Avg Reward: -203.52 | Re-hits: 0
Update 3700/100000 | Loss: -0.3889 | Avg Turns/Game: 62.1 | Avg Reward: -189.98 | Re-hits: 0
Update 3800/100000 | Loss: 0.0952 | Avg Turns/Game: 61.7 | Avg Reward: -192.20 | Re-hits: 0
Update 3900/100000 | Loss: -0.5785 | Avg Turns/Game: 62.1 | Avg Reward: -192.32 | Re-hits: 0
Update 4000/100000 | Loss: -0.1446 | Avg Turns/Game: 60.2 | Avg Reward: -179.10 | Re-hits: 0
Update 4100/100000 | Loss: -0.2558 | Avg Turns/Game: 62.2 | Avg Reward: -193.79 | Re-hits: 0
Update 4200/100000 | Loss: -0.5740 | Avg Turns/Game: 59.2 | Avg Reward: -167.95 | Re-hits: 0
Update 4300/100000 | Loss: -0.1570 | Avg Turns/Game: 59.3 | Avg Reward: -166.32 | Re-hits: 0
Update 4400/100000 | Loss: -0.3965 | Avg Turns/Game: 58.3 | Avg Reward: -159.04 | Re-hits: 0
Update 4500/100000 | Loss: -0.2366 | Avg Turns/Game: 58.0 | Avg Reward: -158.05 | Re-hits: 0
Update 4600/100000 | Loss: -0.0669 | Avg Turns/Game: 62.6 | Avg Reward: -199.34 | Re-hits: 0
Update 4700/100000 | Loss: -0.2246 | Avg Turns/Game: 55.9 | Avg Reward: -138.61 | Re-hits: 0
Update 4800/100000 | Loss: -0.4922 | Avg Turns/Game: 57.2 | Avg Reward: -158.17 | Re-hits: 0
Update 4900/100000 | Loss: -0.5599 | Avg Turns/Game: 57.0 | Avg Reward: -154.58 | Re-hits: 0
Update 5000/100000 | Loss: 0.0599 | Avg Turns/Game: 56.6 | Avg Reward: -152.95 | Re-hits: 0
Update 5100/100000 | Loss: -0.0237 | Avg Turns/Game: 60.5 | Avg Reward: -191.59 | Re-hits: 0
Update 5200/100000 | Loss: -0.1644 | Avg Turns/Game: 56.1 | Avg Reward: -141.64 | Re-hits: 0
Update 5300/100000 | Loss: -0.4719 | Avg Turns/Game: 56.2 | Avg Reward: -150.73 | Re-hits: 0
Update 5400/100000 | Loss: -0.3292 | Avg Turns/Game: 57.4 | Avg Reward: -154.16 | Re-hits: 0
Update 5500/100000 | Loss: -0.0626 | Avg Turns/Game: 55.3 | Avg Reward: -140.91 | Re-hits: 0
Update 5600/100000 | Loss: -0.2849 | Avg Turns/Game: 54.7 | Avg Reward: -133.61 | Re-hits: 0
Update 5700/100000 | Loss: 0.0763 | Avg Turns/Game: 56.5 | Avg Reward: -150.75 | Re-hits: 0
Update 5800/100000 | Loss: -0.3041 | Avg Turns/Game: 54.5 | Avg Reward: -130.08 | Re-hits: 0
Update 5900/100000 | Loss: -0.2834 | Avg Turns/Game: 54.7 | Avg Reward: -134.76 | Re-hits: 0
Update 6000/100000 | Loss: 0.0409 | Avg Turns/Game: 54.2 | Avg Reward: -134.93 | Re-hits: 0
Update 6100/100000 | Loss: -0.4900 | Avg Turns/Game: 53.8 | Avg Reward: -129.65 | Re-hits: 0
Update 6200/100000 | Loss: -0.1297 | Avg Turns/Game: 55.2 | Avg Reward: -134.75 | Re-hits: 0
Update 6300/100000 | Loss: -0.2695 | Avg Turns/Game: 54.1 | Avg Reward: -128.95 | Re-hits: 0
Update 6400/100000 | Loss: -0.4154 | Avg Turns/Game: 54.1 | Avg Reward: -132.20 | Re-hits: 0
Update 6500/100000 | Loss: -0.1761 | Avg Turns/Game: 53.0 | Avg Reward: -123.13 | Re-hits: 0
Update 6600/100000 | Loss: -0.3158 | Avg Turns/Game: 55.5 | Avg Reward: -141.40 | Re-hits: 0
Update 6700/100000 | Loss: -0.5062 | Avg Turns/Game: 52.2 | Avg Reward: -114.07 | Re-hits: 0
Update 6800/100000 | Loss: -0.2959 | Avg Turns/Game: 54.2 | Avg Reward: -135.21 | Re-hits: 0
Update 6900/100000 | Loss: -0.2610 | Avg Turns/Game: 56.9 | Avg Reward: -159.13 | Re-hits: 0
Update 7000/100000 | Loss: -0.1285 | Avg Turns/Game: 52.9 | Avg Reward: -123.49 | Re-hits: 0
Update 7100/100000 | Loss: -0.1396 | Avg Turns/Game: 53.1 | Avg Reward: -127.58 | Re-hits: 0
Update 7200/100000 | Loss: -0.1645 | Avg Turns/Game: 54.7 | Avg Reward: -139.53 | Re-hits: 0
Update 7300/100000 | Loss: -0.3481 | Avg Turns/Game: 53.1 | Avg Reward: -121.44 | Re-hits: 0
Update 7400/100000 | Loss: -0.0928 | Avg Turns/Game: 51.7 | Avg Reward: -116.58 | Re-hits: 0
Update 7500/100000 | Loss: -0.2787 | Avg Turns/Game: 52.6 | Avg Reward: -126.97 | Re-hits: 0
Update 7600/100000 | Loss: -0.2356 | Avg Turns/Game: 53.1 | Avg Reward: -116.01 | Re-hits: 0
Update 7700/100000 | Loss: -0.4615 | Avg Turns/Game: 51.7 | Avg Reward: -117.15 | Re-hits: 0
Update 7800/100000 | Loss: -0.2415 | Avg Turns/Game: 50.2 | Avg Reward: -106.72 | Re-hits: 0
Update 7900/100000 | Loss: -0.3554 | Avg Turns/Game: 49.7 | Avg Reward: -111.57 | Re-hits: 0
Update 8000/100000 | Loss: -0.1689 | Avg Turns/Game: 49.1 | Avg Reward: -93.68 | Re-hits: 0
Update 8100/100000 | Loss: -0.1315 | Avg Turns/Game: 49.2 | Avg Reward: -100.01 | Re-hits: 0
Update 8200/100000 | Loss: -0.2081 | Avg Turns/Game: 50.8 | Avg Reward: -109.89 | Re-hits: 0
Update 8300/100000 | Loss: -0.3009 | Avg Turns/Game: 50.8 | Avg Reward: -113.18 | Re-hits: 0
Update 8400/100000 | Loss: -0.2095 | Avg Turns/Game: 49.3 | Avg Reward: -95.34 | Re-hits: 0
Update 8500/100000 | Loss: -0.7299 | Avg Turns/Game: 48.8 | Avg Reward: -96.14 | Re-hits: 0
Update 8600/100000 | Loss: -0.1099 | Avg Turns/Game: 51.5 | Avg Reward: -105.68 | Re-hits: 0
Update 8700/100000 | Loss: 0.0802 | Avg Turns/Game: 49.2 | Avg Reward: -103.07 | Re-hits: 0
Update 8800/100000 | Loss: 0.0288 | Avg Turns/Game: 49.8 | Avg Reward: -100.68 | Re-hits: 0
Update 8900/100000 | Loss: -0.1030 | Avg Turns/Game: 47.2 | Avg Reward: -88.31 | Re-hits: 0
Update 9000/100000 | Loss: -0.0459 | Avg Turns/Game: 47.6 | Avg Reward: -93.11 | Re-hits: 0
Update 9100/100000 | Loss: 0.0064 | Avg Turns/Game: 48.1 | Avg Reward: -93.94 | Re-hits: 0
Update 9200/100000 | Loss: -0.0007 | Avg Turns/Game: 47.5 | Avg Reward: -91.73 | Re-hits: 0
Update 9300/100000 | Loss: -0.3990 | Avg Turns/Game: 48.7 | Avg Reward: -94.41 | Re-hits: 0
Update 9400/100000 | Loss: -0.6166 | Avg Turns/Game: 49.0 | Avg Reward: -105.52 | Re-hits: 0
Update 9500/100000 | Loss: -0.2338 | Avg Turns/Game: 46.3 | Avg Reward: -82.07 | Re-hits: 0
Update 9600/100000 | Loss: -0.1684 | Avg Turns/Game: 46.3 | Avg Reward: -83.51 | Re-hits: 0
Update 9700/100000 | Loss: -0.1100 | Avg Turns/Game: 46.0 | Avg Reward: -85.17 | Re-hits: 0
Update 9800/100000 | Loss: -0.3597 | Avg Turns/Game: 46.5 | Avg Reward: -80.92 | Re-hits: 0
Update 9900/100000 | Loss: -0.4326 | Avg Turns/Game: 48.1 | Avg Reward: -92.64 | Re-hits: 0
Update 10000/100000 | Loss: -0.0020 | Avg Turns/Game: 46.8 | Avg Reward: -87.59 | Re-hits: 0
Update 10100/100000 | Loss: -0.4413 | Avg Turns/Game: 46.5 | Avg Reward: -83.25 | Re-hits: 0
Update 10200/100000 | Loss: -0.1330 | Avg Turns/Game: 47.1 | Avg Reward: -80.37 | Re-hits: 0
Update 10300/100000 | Loss: 0.0548 | Avg Turns/Game: 46.8 | Avg Reward: -92.24 | Re-hits: 0
Update 10400/100000 | Loss: -0.4627 | Avg Turns/Game: 47.1 | Avg Reward: -89.01 | Re-hits: 0
Update 10500/100000 | Loss: -0.1098 | Avg Turns/Game: 46.3 | Avg Reward: -86.53 | Re-hits: 0
Update 10600/100000 | Loss: -0.1597 | Avg Turns/Game: 46.3 | Avg Reward: -73.29 | Re-hits: 0
Update 10700/100000 | Loss: -0.1661 | Avg Turns/Game: 44.8 | Avg Reward: -74.10 | Re-hits: 0
Update 10800/100000 | Loss: -0.2973 | Avg Turns/Game: 47.8 | Avg Reward: -97.13 | Re-hits: 0
Update 10900/100000 | Loss: -0.3266 | Avg Turns/Game: 47.7 | Avg Reward: -90.75 | Re-hits: 0
Update 11000/100000 | Loss: -0.1450 | Avg Turns/Game: 45.1 | Avg Reward: -76.18 | Re-hits: 0
Update 11100/100000 | Loss: -0.4458 | Avg Turns/Game: 46.0 | Avg Reward: -80.56 | Re-hits: 0
Update 11200/100000 | Loss: -0.0673 | Avg Turns/Game: 47.9 | Avg Reward: -87.55 | Re-hits: 0
Update 11300/100000 | Loss: 0.0425 | Avg Turns/Game: 47.1 | Avg Reward: -90.36 | Re-hits: 0
Update 11400/100000 | Loss: -0.3285 | Avg Turns/Game: 44.6 | Avg Reward: -74.98 | Re-hits: 0
Update 11500/100000 | Loss: -0.0748 | Avg Turns/Game: 44.9 | Avg Reward: -73.91 | Re-hits: 0
Update 11600/100000 | Loss: -0.2020 | Avg Turns/Game: 45.1 | Avg Reward: -77.15 | Re-hits: 0
Update 11700/100000 | Loss: -0.5987 | Avg Turns/Game: 45.1 | Avg Reward: -80.83 | Re-hits: 0
Update 11800/100000 | Loss: 0.0043 | Avg Turns/Game: 46.5 | Avg Reward: -80.60 | Re-hits: 0
Update 11900/100000 | Loss: -0.4401 | Avg Turns/Game: 45.3 | Avg Reward: -78.43 | Re-hits: 0
Update 12000/100000 | Loss: -0.0310 | Avg Turns/Game: 45.0 | Avg Reward: -77.06 | Re-hits: 0
Update 12100/100000 | Loss: -0.1829 | Avg Turns/Game: 44.9 | Avg Reward: -78.66 | Re-hits: 0
Update 12200/100000 | Loss: -0.6864 | Avg Turns/Game: 46.0 | Avg Reward: -82.19 | Re-hits: 0
Update 12300/100000 | Loss: -0.1211 | Avg Turns/Game: 46.1 | Avg Reward: -79.12 | Re-hits: 0
Update 12400/100000 | Loss: -0.4315 | Avg Turns/Game: 45.5 | Avg Reward: -77.73 | Re-hits: 0
Update 12500/100000 | Loss: -0.0582 | Avg Turns/Game: 45.1 | Avg Reward: -75.15 | Re-hits: 0
Update 12600/100000 | Loss: 0.1123 | Avg Turns/Game: 46.4 | Avg Reward: -89.94 | Re-hits: 0
Update 12700/100000 | Loss: -0.1634 | Avg Turns/Game: 46.4 | Avg Reward: -82.98 | Re-hits: 0
Update 12800/100000 | Loss: -0.0789 | Avg Turns/Game: 47.1 | Avg Reward: -87.67 | Re-hits: 0
Update 12900/100000 | Loss: -0.3473 | Avg Turns/Game: 44.8 | Avg Reward: -74.38 | Re-hits: 0
Update 13000/100000 | Loss: -0.2040 | Avg Turns/Game: 45.2 | Avg Reward: -80.90 | Re-hits: 0
Update 13100/100000 | Loss: -0.4342 | Avg Turns/Game: 46.7 | Avg Reward: -79.64 | Re-hits: 0
Update 13200/100000 | Loss: 0.0221 | Avg Turns/Game: 46.5 | Avg Reward: -79.09 | Re-hits: 0
Update 13300/100000 | Loss: 0.1143 | Avg Turns/Game: 45.2 | Avg Reward: -74.83 | Re-hits: 0
Update 13400/100000 | Loss: -0.3404 | Avg Turns/Game: 44.6 | Avg Reward: -72.60 | Re-hits: 0
Update 13500/100000 | Loss: -0.0832 | Avg Turns/Game: 45.4 | Avg Reward: -71.62 | Re-hits: 0
Update 13600/100000 | Loss: -0.3180 | Avg Turns/Game: 45.7 | Avg Reward: -77.06 | Re-hits: 0
Update 13700/100000 | Loss: -0.1197 | Avg Turns/Game: 45.6 | Avg Reward: -81.09 | Re-hits: 0
Update 13800/100000 | Loss: 0.0044 | Avg Turns/Game: 43.4 | Avg Reward: -64.03 | Re-hits: 0
Update 13900/100000 | Loss: 0.1785 | Avg Turns/Game: 45.9 | Avg Reward: -76.34 | Re-hits: 0
